date,age,total
2022-03-28,169,11
2022-03-30,24,17
2022-03-29,47,12
2022-03-30,133,1
2022-03-28,63,4
2022-03-31,191,3
2022-03-28,44,18
2022-03-28,188,4
2022-03-31,476,4
2022-03-31,114,1
2022-03-31,108,2
2022-03-27,190,1
2022-03-28,269,15
2022-03-27,59,5
2022-03-28,83,1
2022-03-27,128,3
2022-03-30,120,11
2022-03-31,199,4
2022-03-31,490,1
2022-03-29,245,5
2022-03-31,91,4
2022-03-29,187,3
2022-03-30,341,1
2022-03-27,221,4
2022-03-27,403,2
2022-03-29,281,1
2022-03-27,45,5
2022-03-29,44,3
2022-03-29,246,3
2022-03-29,236,4
2022-03-27,26,1
2022-03-27,406,1
2022-03-27,100,1
2022-03-27,126,1
2022-03-30,16,1
2022-03-28,193,1
2022-03-31,487,1
2022-03-29,240,5
2022-03-28,6,102
2022-03-29,49,10
2022-03-31,100,12
2022-03-31,54,4
2022-03-30,131,1
2022-03-27,187,4
2022-03-28,54,5
2022-03-28,263,2
2022-03-28,77,10
2022-03-27,91,2
2022-03-30,511,3
2022-03-29,18,5
2022-03-30,216,1
2022-03-30,130,2
2022-03-30,27,1
2022-03-30,74,4
2022-03-31,166,1
2022-03-27,43,9
2022-03-29,30,26
2022-03-31,62,1
2022-03-28,53,14
2022-03-27,89,2
2022-03-28,196,7
2022-03-30,242,1
2022-03-28,197,4
2022-03-31,306,2
2022-03-31,34,5
2022-03-27,108,3
2022-03-28,168,3
2022-03-27,198,1
2022-03-28,209,1
2022-03-31,163,1
2022-03-29,522,3
2022-03-31,481,1
2022-03-27,15,1
2022-03-29,242,1
2022-03-28,183,1
2022-03-28,180,1
2022-03-29,183,1
2022-03-30,169,1
2022-03-31,204,1
2022-03-27,36,10
2022-03-28,59,4
2022-03-31,167,3
2022-03-31,96,7
2022-03-31,99,5
2022-03-30,289,1
2022-03-28,270,7
2022-03-27,31,37
2022-03-28,47,6
2022-03-30,4,6
2022-03-27,264,1
2022-03-30,499,3
2022-03-29,181,1
2022-03-29,53,4
2022-03-31,94,4
2022-03-29,72,1
2022-03-28,41,9
2022-03-28,80,1
2022-03-30,33,1
2022-03-30,477,1
2022-03-28,389,2
2022-03-28,174,1
2022-03-31,479,3
2022-03-28,26,3
2022-03-27,305,2
2022-03-31,64,1
2022-03-31,124,1
2022-03-30,10,1
2022-03-29,533,1
